"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.506529167E-2,-2.603543401E-1,-1.186443925E0,-1.313858330E-1
2.501029167E-2,-3.009299934E-1,-1.122388244E0,-1.665540785E-1
3.495429167E-2,-3.269056678E-1,-1.057654023E0,-2.331253886E-1
4.489929167E-2,-3.354297578E-1,-9.618465304E-1,-3.061516583E-1
5.484429167E-2,-3.280775547E-1,-7.879543900E-1,-3.575506806E-1
6.478829167E-2,-3.102406263E-1,-5.790165663E-1,-3.545177579E-1
7.473329167E-2,-2.881425023E-1,-3.926192820E-1,-3.093625307E-1
8.467829167E-2,-2.755350471E-1,-2.767619491E-1,-2.556889653E-1
9.462229167E-2,-2.726138532E-1,-2.508011758E-1,-2.311564684E-1
1.045672917E-1,-2.780846953E-1,-2.775310874E-1,-2.240350246E-1
1.145112917E-1,-2.705490291E-1,-3.375025392E-1,-2.221268713E-1
1.244562917E-1,-2.595778704E-1,-4.371942580E-1,-2.211356461E-1
1.344012917E-1,-2.621392906E-1,-5.212143064E-1,-1.972731799E-1
1.443452917E-1,-2.911075652E-1,-5.362473130E-1,-1.569406092E-1
1.542902917E-1,-2.880126834E-1,-5.076284409E-1,-1.013902724E-1
1.642352917E-1,-2.714269459E-1,-4.083554745E-1,-5.817025527E-2
1.741792917E-1,-2.478630394E-1,-2.822001874E-1,-3.285557777E-2
1.841242917E-1,-2.343978435E-1,-2.252130806E-1,-1.549520646E-3
1.940692917E-1,-2.434888184E-1,-2.148962617E-1,3.969245777E-2
2.040132917E-1,-2.676195204E-1,-2.547902465E-1,7.439406216E-2
2.139582917E-1,-3.015503287E-1,-3.422351480E-1,6.662987918E-2
2.239032917E-1,-3.223581612E-1,-4.388452172E-1,9.916639887E-3
2.338472917E-1,-3.328800499E-1,-5.043951869E-1,-1.005800441E-1
2.437922917E-1,-3.342314661E-1,-5.372303128E-1,-2.136554420E-1
2.537372917E-1,-3.073183596E-1,-4.832395613E-1,-3.011530638E-1
2.636812917E-1,-2.666074634E-1,-3.546874523E-1,-3.480206132E-1
2.736262917E-1,-2.045209259E-1,-1.077162921E-1,-3.115952015E-1
2.835712917E-1,-2.560110092E-1,1.041871756E-1,-1.622536480E-1
