"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.506529167E-2,-4.452625483E-1,-8.159877151E-2,3.060865366E-1
2.501029167E-2,-3.587673184E-1,-8.677560389E-2,3.239860332E-1
3.495429167E-2,-3.104219547E-1,9.771311313E-2,3.131757009E-1
4.489929167E-2,-1.824471617E-1,1.984930909E-1,2.864843309E-1
5.484429167E-2,-1.422066236E-1,8.124866948E-2,2.882273859E-1
6.478829167E-2,-2.075945744E-1,7.018705308E-3,3.358763462E-1
7.473329167E-2,-2.662191971E-1,5.869566634E-2,2.846249163E-1
8.467829167E-2,-3.428748786E-1,6.309598848E-2,1.742382556E-1
9.462229167E-2,-4.729342040E-1,-5.356897384E-2,6.442813039E-2
1.045672917E-1,-6.297451258E-1,-1.911304231E-1,-7.984489918E-2
1.145112917E-1,-7.623927212E-1,-1.648015805E-1,-2.195799047E-1
1.244562917E-1,-8.503244658E-1,-1.920408346E-1,-1.875307310E-1
1.344012917E-1,-8.378716506E-1,-2.371022558E-1,-2.169743854E-1
1.443452917E-1,-7.405396298E-1,-2.672602938E-1,-3.441928411E-1
1.542902917E-1,-6.029309642E-1,-3.145192449E-1,-2.934618133E-1
1.642352917E-1,-3.556875899E-1,-4.149922438E-1,-1.638851756E-1
1.741792917E-1,-1.384193820E-1,-4.911096892E-1,-2.303200704E-1
1.841242917E-1,-1.288846198E-1,-4.111488689E-1,-2.406480074E-1
1.940692917E-1,-2.276125172E-1,-2.904059123E-1,-2.719323653E-1
2.040132917E-1,-2.716290410E-1,-2.577654389E-1,-2.707325166E-1
2.139582917E-1,-2.456270577E-1,-2.588196918E-1,-1.479345560E-1
2.239032917E-1,-1.629291558E-1,-3.160475609E-1,4.146143675E-2
2.338472917E-1,3.042013943E-3,-4.688785753E-1,3.264810401E-1
2.437922917E-1,8.684284687E-2,-5.081685023E-1,6.404817832E-1
2.537372917E-1,8.513253629E-2,-4.898136538E-1,9.445118541E-1
2.636812917E-1,2.443875942E-1,-5.616360269E-1,1.109234936E0
2.736262917E-1,2.772160555E-1,-8.147554144E-1,1.114272897E0
2.835712917E-1,3.039119571E-2,-9.244159971E-1,3.121588701E-1
2.935152917E-1,5.615342854E-1,-4.925352404E-1,1.870290399E-1
3.034602917E-1,5.300667635E-1,-3.004303788E-1,2.666979378E-1
3.134042917E-1,4.407625312E-1,-2.977171245E-1,-4.088630462E-1
3.233492917E-1,2.499871802E-1,-3.096958767E-1,-3.592839199E-1
3.332942917E-1,2.542895615E-1,-6.988175534E-2,-1.616591406E-1
3.432382917E-1,3.479362285E-1,-7.759759493E-2,-4.482808810E-1
3.531825417E-1,3.972174391E-1,-1.825297536E-1,-7.539850098E-1
3.631275417E-1,4.246195382E-1,-2.631637345E-1,-6.617568773E-1
3.730715417E-1,5.578784600E-1,-3.163529317E-1,-6.769678241E-1
3.830165417E-1,7.208615564E-1,-3.576306197E-1,-8.368078959E-1
3.929615417E-1,8.632533905E-1,-2.760627653E-1,-9.527634448E-1
4.029055417E-1,8.711691318E-1,-1.430475993E-1,-8.522568244E-1
4.128505417E-1,8.462855747E-1,1.448559970E-2,-6.654938328E-1
4.227955417E-1,7.263365968E-1,6.246855301E-1,-1.138418974E0
4.327395417E-1,4.300404187E-1,7.093555516E-1,-5.470438617E-1
4.426845417E-1,2.781231780E-1,3.388033162E-1,-2.130082190E-2
4.526295417E-1,1.983327310E-1,1.882465763E-1,-5.977725506E-2
4.625735417E-1,2.642222267E-1,2.079888960E-1,1.537291467E-1
4.725185417E-1,3.355588424E-1,3.891276701E-1,2.786642647E-1
4.824635417E-1,1.905006780E-1,4.129365820E-1,3.075939488E-1
4.924075417E-1,-1.405718882E-1,2.908233304E-1,2.915205377E-1
5.023525417E-1,-3.904582040E-1,9.053203795E-2,2.289354497E-1
5.122965417E-1,-3.579197645E-1,-4.414949315E-2,2.269678617E-1
5.222415417E-1,-1.310585415E-1,-1.077809404E-1,2.256908298E-1
5.321865417E-1,7.539619133E-2,-1.577876991E-1,2.784853399E-1
5.421305417E-1,3.993754271E-1,-5.373803146E-2,4.947814482E-1
5.520755417E-1,8.220059618E-1,1.725167622E-1,7.219861221E-1
5.620205417E-1,1.059677225E0,3.354811475E-1,7.967041826E-1
5.719645417E-1,1.170532832E0,2.263677181E-1,1.049298636E0
5.819095417E-1,1.412377984E0,4.734141508E-2,1.306841589E0
5.918545417E-1,1.588676360E0,-1.973984921E-1,1.136639081E0
6.017985417E-1,1.504790450E0,-5.158274777E-1,8.654767942E-1
